primaryTitle,runtimeMinutes,genres,isAdult,averageRating,numVotes,budget,domestic,world,year,oscar_nominated
shall we dance,109.0,"Comedy,Musical,Romance",0,7.4,8271.0,40000000.0,57887882.0,170125882.0,,0
snow white and the seven dwarfs,83.0,"Adventure,Animation,Family",0,7.6,235225.0,1488000.0,184925486.0,187171725.0,,0
a star is born,111.0,"Drama,Romance",0,7.3,11676.0,36000000.0,215288866.0,436388866.0,,0
alexanders ragtime band,106.0,"Drama,Music,Musical",0,6.8,2461.0,2000000.0,4000000.0,4000000.0,,0
youth in revolt,91.0,"Adventure,Drama,Fantasy",0,5.5,31.0,18000000.0,15285588.0,19685588.0,,0
gangs of new york,67.0,"Crime,Drama",0,6.2,194.0,97000000.0,77730500.0,183124621.0,,0
the last stand,56.0,"Drama,Music,Western",0,6.2,37.0,30000000.0,12050299.0,48330757.0,,0
the lone ranger,264.0,"Action,Drama,Family",0,6.6,313.0,225000000.0,89302115.0,260002115.0,,0
marie antoinette,149.0,"Biography,Drama,History",0,7.3,3518.0,40000000.0,15962471.0,60862471.0,,0
penitentiary,74.0,Drama,0,6.5,27.0,100000.0,287000.0,287000.0,,0
you cant take it with you,126.0,"Comedy,Drama,Romance",0,7.8,29873.0,1644000.0,4000000.0,4000000.0,,0
dead mans shoes,70.0,Drama,0,7.6,37.0,1125000.0,6408.0,414736.0,,0
fast and furious,73.0,"Comedy,Crime,Mystery",0,6.1,896.0,85000000.0,155064265.0,359347833.0,,0
the four feathers,129.0,"Adventure,Drama,History",0,7.4,6982.0,35000000.0,18306166.0,29882645.0,,0
gone with the wind,238.0,"Drama,Romance,War",0,8.2,352250.0,3900000.0,198680470.0,390516513.0,,0
the green hornet,258.0,"Adventure,Crime,Family",0,6.5,780.0,110000000.0,98780042.0,229155503.0,,0
the hunchback of notre dame,116.0,"Drama,Romance",0,7.8,13082.0,100000000.0,100138851.0,325500000.0,,0
long shot,69.0,"Drama,Romance",0,5.9,97.0,40000000.0,30316271.0,53624424.0,,0
the man in the iron mask,113.0,"Adventure,History,Romance",0,7.0,2132.0,35000000.0,56968169.0,56968169.0,,0
mr smith goes to washington,129.0,"Comedy,Drama",0,8.1,128123.0,1500000.0,9000000.0,9000000.0,,0
nancy drew and the hidden staircase,60.0,"Comedy,Crime,Family",0,6.6,1039.0,17000000.0,623088.0,624549.0,,0
the fugitive,76.0,"Crime,Drama,Film-Noir",0,6.5,332.0,44000000.0,183968665.0,353808222.0,,0
the tunnel,76.0,"Drama,Music",0,6.6,661.0,135000.0,1348.0,1348.0,,0
rio,77.0,"Crime,Drama,Romance",0,6.1,244.0,90000000.0,143619809.0,487517241.0,,0
sabotage,69.0,"Action,Drama",0,5.7,85.0,35000000.0,10508518.0,18376443.0,,0
some like it hot,65.0,"Comedy,Musical,Romance",0,6.6,341.0,2883848.0,25000000.0,25038874.0,,0
the three musketeers,73.0,"Action,Adventure,Comedy",0,5.9,722.0,90000000.0,20377913.0,139877913.0,,0
earth,142.0,Drama,0,7.2,110.0,47000000.0,32011576.0,116773317.0,,0
the wizard of oz,102.0,"Adventure,Family,Fantasy",0,8.1,460441.0,2777000.0,35572006.0,35883231.0,,0
the women,133.0,"Comedy,Drama",0,7.7,15895.0,16000000.0,26902075.0,50103808.0,,0
wuthering heights,104.0,"Drama,Romance",0,7.5,21233.0,8000000.0,100915.0,2721534.0,,0
the blue bird,88.0,"Adventure,Family,Fantasy",0,6.2,2164.0,1200000.0,887000.0,887000.0,,0
boom town,119.0,"Adventure,Drama,Romance",0,7.0,4081.0,2000000.0,9172000.0,9172000.0,,0
fantasia,124.0,"Animation,Family,Fantasy",0,7.7,109795.0,2280000.0,83320000.0,83320832.0,,0
enemies,91.0,"Drama,Romance,War",0,5.3,25.0,25000000.0,0.0,0.0,,0
high school,74.0,"Action,Comedy,Music",0,6.6,95.0,10000000.0,139034.0,248133.0,,0
a little bit of heaven,87.0,Musical,0,6.2,47.0,12500000.0,10011.0,1100287.0,,0
mother,83.0,Drama,0,6.0,36.0,30000000.0,17800004.0,44516999.0,,0
my little chickadee,83.0,"Comedy,Western",0,6.8,3297.0,625000.0,0.0,0.0,,0
pinocchio,88.0,"Adventure,Animation,Comedy",0,7.5,169928.0,45000000.0,3681811.0,31681811.0,,0
pinocchio,88.0,"Adventure,Animation,Comedy",0,7.5,169928.0,13200000.0,1831718.0,30360375.0,,0
pinocchio,88.0,"Adventure,Animation,Comedy",0,7.5,169928.0,2289247.0,84300000.0,84300000.0,,0
pride and prejudice,118.0,"Comedy,Drama,Romance",0,7.3,9885.0,28000000.0,44780310.0,132955485.0,,0
rebecca,130.0,"Drama,Mystery,Romance",0,8.1,161068.0,1288000.0,6000000.0,6003870.0,1940.0,1
the shadow,285.0,"Action,Adventure,Crime",0,6.8,402.0,40000000.0,31835600.0,31835600.0,,0
up in the air,62.0,"Comedy,Musical,Mystery",0,5.7,416.0,25000000.0,83823381.0,166842739.0,,0
the count of monte cristo,165.0,"Adventure,Drama,History",0,7.0,91.0,40000000.0,54228104.0,75389090.0,,0
dressed to kill,74.0,"Crime,Drama,Film-Noir",0,6.4,1301.0,6500000.0,31899000.0,31899000.0,,0
dumbo,64.0,"Adventure,Animation,Drama",0,7.2,149557.0,170000000.0,114766307.0,353166307.0,,0
how green was my valley,118.0,"Drama,Family",0,7.7,28569.0,1250000.0,0.0,382.0,,0
the iron claw,289.0,Crime,0,6.4,71.0,15900000.0,35611828.0,46140822.0,,0
million dollar baby,100.0,"Comedy,Romance",0,6.4,584.0,30000000.0,100492203.0,231928227.0,,0
mr and mrs smith,95.0,"Comedy,Romance",0,6.3,12072.0,110000000.0,186336279.0,486124090.0,,0
public enemies,68.0,"Comedy,Crime,Drama",0,7.3,34.0,102500000.0,97104620.0,212282709.0,,0
unfinished business,96.0,"Comedy,Musical,Romance",0,6.4,343.0,35000000.0,10219501.0,13214051.0,,0
derailed,102.0,"Crime,Drama",0,6.4,134.0,22000000.0,36020063.0,57520063.0,,0
bambi,69.0,"Adventure,Animation,Drama",0,7.3,162816.0,858000.0,102797000.0,268000000.0,,0
casablanca,102.0,"Drama,Romance,War",0,8.5,646916.0,1039000.0,10805992.0,10910050.0,,0
cat people,73.0,"Fantasy,Horror,Thriller",0,7.2,28156.0,12500000.0,7000000.0,21000000.0,,0
cat people,73.0,"Fantasy,Horror,Thriller",0,7.2,28156.0,134000.0,4000000.0,8000000.0,,0
crossroads,83.0,"Crime,Drama,Film-Noir",0,6.7,1959.0,12000000.0,37188667.0,57000000.0,,0
crossroads,83.0,"Crime,Drama,Film-Noir",0,6.7,1959.0,500000.0,0.0,0.0,,0
the dark tower,90.0,"Drama,Thriller",0,6.0,516.0,66000000.0,50701325.0,113461527.0,,0
the avengers,87.0,"Drama,War",0,6.1,653.0,225000000.0,623357910.0,1515100211.0,,0
the avengers,87.0,"Drama,War",0,6.1,653.0,60000000.0,23385416.0,48585416.0,,0
edge of darkness,119.0,"Drama,War",0,7.2,3355.0,60000000.0,43313890.0,82812456.0,,0
the jungle book,108.0,"Action,Adventure,Family",0,6.7,4974.0,175000000.0,364001123.0,950697998.0,,0
the jungle book,108.0,"Action,Adventure,Family",0,6.7,4974.0,27000000.0,44342956.0,53508356.0,,0
